group_key,a,b,m,k,rmse,mu_lo,mu_hi,rng,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source,g_hat
XMTQQYYKAHVGBJ,0.7671744625796187,0.3378261809818904,3.3696930801809275,11.049961534696667,0.001517872597108716,0.7668882875298795,0.3395216987108411,0.43200357312502546,c1ccccc1,233.0243,24.0,1.0,1.0,1.0,5.0,32.34,0.3571428571428571,2.0,1.0,0.0,2.0,LCSB,0.5845968572381682
XOGPDSATLSAZEK,1.0025888674386847,0.6350540476014093,4.150408891734336,4.342817596332998,0.0024622632396717327,0.9989832474626276,0.6999248821236469,0.29905836533898067,O=C1c2ccccc2C(=O)c2ccccc21,224.0706,26.0,0.0,3.0,2.0,11.0,60.16,0.1764705882352941,1.0,2.0,0.0,0.0,LCSB,2.9779337805852983
XPAZGLFMMUODDK,0.9739222969474842,0.7823781012127151,3.930827860359628,3.926697723487665,0.009695375537136158,0.9656147914267746,0.7919530715660631,0.17381409031628325,c1ccc2[nH]cnc2c1,164.0455,17.0,1.0,2.0,2.0,8.0,71.82,0.4166666666666667,3.0,2.0,0.0,0.0,LCSB,3.4779382888026165
XRHGWAGWAHHFLF,1.0414903019677912,0.3524885309586349,2.9875730108488066,3.099187405848576,0.003779208205788601,0.8374956167520419,0.3531267363523146,0.48436888039972725,c1nc[nH]n1,314.049,35.0,7.0,1.0,1.0,4.5,58.4,0.5,3.0,3.0,1.0,1.0,LCSB,0.5960404298783936
XVOKUMIPKHGGTN,1.0050395058691524,0.4233666114894709,3.697710303974992,4.694857829988884,0.008982335917993824,0.9968268379081968,0.4232781336638341,0.5735487042443628,O=C1CN=C(c2ccccn2)N1,290.1499,40.0,4.0,2.0,1.0,8.0,91.65,0.2857142857142857,3.0,3.0,0.0,0.0,LCSB,1.3592146014426585
XXOYNJXVWVNOOJ,0.657408105240684,0.4529357162487,3.735086031703118,19.565308170088453,0.0031343910405210304,0.6550852583426429,0.4487935712349885,0.21064905154566765,c1ccccc1,165.1022,24.0,1.0,1.0,1.0,5.0,32.34,0.25,2.0,1.0,0.0,0.0,LCSB,0.892318287016716
XZZNDPSIHUTMOC,1.0027646176940077,0.39114879028961197,3.6800565136003573,5.537798634252109,0.0072549068062124815,0.9975529113925744,0.3903525387620856,0.6072003726304889,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,327.0781,38.0,6.0,3.0,3.0,13.0,44.760000000000005,0.217391304347826,0.0,4.0,0.0,0.0,LCSB,1.0858741764116406
YBBLVLTVTVSKRW,1.0449022009974716,1.8299281031314753e-15,4.516621943425706,1.3224743413140785,0.022424527986209124,0.9708985727132616,0.5149820724414494,0.4559165002718122,c1ccc(Cn2cncn2)cc1,294.1713,41.0,4.0,2.0,2.0,11.5,78.28999999999999,0.2272727272727272,5.0,0.0,0.0,0.0,LCSB,1.7873587196055218
YBJHBAHKTGYVGT,0.9372306524763124,0.38041845946632974,3.9576496941717245,6.947763513987954,0.009421020932319,0.9484655559580318,0.3875391918650389,0.5609263640929929,O=C1N[C@H]2CSC[C@H]2N1,245.0954,32.0,5.0,2.0,0.0,4.0,78.43,0.375,2.0,3.0,1.0,0.0,LCSB,1.551751253489212
YFGYUFNIOHWBOB,0.877856973247548,0.3026305557084635,3.3392178274582087,2.603037773197538,0.0009050744248648116,0.7846247218572658,0.3299907222820871,0.45463399957517875,c1cncnc1,239.1503,35.0,2.0,1.0,1.0,5.0,58.56000000000001,0.3529411764705882,4.0,2.0,0.0,0.0,LCSB,0.6658113219337036
YFNCATAIYKQPOO,1.0499999999999998,0.23040869869672523,2.5553657946751387,1.2988112890170027,0.009852342562587801,0.6032735400239204,0.2782693236982769,0.3250042163256435,c1ccccc1,371.0842,42.0,4.0,1.0,1.0,8.0,100.72,0.4166666666666667,4.0,4.0,2.0,0.0,LCSB,0.4180695066239263
YGUFQYGSBVXPMC,0.9386884852071667,0.5895493045079987,4.2796551149564355,4.041168096787697,0.002904106283554376,0.9405080650062726,0.6908979402537754,0.24961012475249722,c1ccccc1,188.0473,22.0,2.0,1.0,1.0,4.0,44.48,0.3333333333333333,1.0,2.0,0.0,1.0,LCSB,2.8339654765236246
YIJZJEYQBAAWRJ,1.0145325020792482,0.4708756135859809,3.7407091529653416,4.034615120645507,0.01774332283680395,0.9996890848361496,0.4765842019677208,0.5231048828684288,c1cncc(C2=NCCS2)c1,397.1004,43.0,5.0,2.0,1.0,7.0,51.55,0.3846153846153846,2.0,2.0,1.0,5.0,LCSB,1.503182000582595
YILJWHUIUCRKEU,1.0499999999999998,0.4293593584882013,2.8660339059761526,3.3274465679014362,0.016123897170807366,0.8220832544002327,0.4108215103881062,0.41126174401212645,c1ccc(-c2nnn[nH]2)c(-c2ccc(Cn3cnc4cccnc43)cc2)c1,410.2088,54.0,7.0,5.0,5.0,18.5,85.16999999999999,0.2258064516129032,7.0,0.0,0.0,0.0,LCSB,0.862485367249558
YJFCKXVXEKHSEC,0.5152404677448492,0.33760613677533063,4.075494550684046,4.034617970702359,0.004047280544652002,0.5033394413787399,0.362194947040402,0.14114449433833787,O=C(Oc1ccc2ccccc2c1)c1ccccc1,264.1019,33.0,2.0,3.0,3.0,12.5,52.32000000000001,0.15,1.0,2.0,0.0,0.0,LCSB,0.6765694836374254
YKBZOVFACRVRJN,0.567092541856312,0.30272852259677135,4.1004650395508575,3.477189408033349,0.004662868575911322,0.5642324833620279,0.357880782067598,0.20635170129442992,C1CCOC1,203.1139,28.0,3.0,1.0,0.0,3.0,88.78999999999999,0.5,4.0,3.0,0.0,0.0,LCSB,0.4577201773401936
YLDDCEXDGNXCIO,0.9233435155103874,1.6779423685719857e-12,4.631418135606623,1.668382493514175,0.003936190249718465,0.8891251594401247,0.5119804478316557,0.37714471160846896,c1ccc2c(c1)CCCN2,220.1696,37.0,2.0,2.0,1.0,5.0,21.26,0.125,1.0,1.0,0.0,0.0,LCSB,1.7537755458474742
YLJREFDVOIBQDA,0.9982988688799197,0.8224869016367283,4.420816098635358,8.798540553379585,0.0003520302070322456,0.9988613419889076,0.8810171347572333,0.11784420723167432,c1ccc2nc3c(cc2c1)CCCC3,199.123,29.0,0.0,3.0,2.0,8.5,38.91,0.1333333333333333,2.0,0.0,0.0,0.0,LCSB,4.934228917847478
YNVKAENVJKEMOU,1.0499999999999998,0.33068311870315364,3.3479382336174797,2.9867802422467995,0.023504726663713088,0.9825611441723664,0.3258671415315924,0.6566940026407739,O=C(Nn1ccc2ccccc21)c1cnc(-c2ccccn2)nc1,362.1412,43.0,3.0,4.0,4.0,16.0,72.7,0.2592592592592592,5.0,1.0,0.0,1.0,LCSB,0.9669240542477284
