spectrum_id,adduct,precursor_mz,compound_name,key,scaffold_group
CCMSLIB00012271139,[M+H]1+,523.265,remogliflozin etabonate,UAOCLDQAQNNEAX,c1ccc(Cc2c[nH]nc2OC2CCCCO2)cc1
CCMSLIB00012271140,[M+NH3+H]1+,402.212,Artesunate,FIHJKUPKCHIPAT,C1CC2CCOC3OC4CCC(C1)C23OO4
CCMSLIB00012271141,[M+Na]1+,407.168,Artesunate,FIHJKUPKCHIPAT,C1CC2CCOC3OC4CCC(C1)C23OO4
CCMSLIB00012271142,[M+H]1+,495.22,AZD9567,ZQFNDBISEYQVRR,O=c1ccc(-n2ncc3cc(OCc4ccccc4)ccc32)c[nH]1
CCMSLIB00012271143,[M-2H2O+NH3+H]1+,415.213,SCHEMBL288920,GNVOKCURJPYONL,O=C(CC(Cc1ccccc1)NC(=O)c1cccn1Cc1ccccc1)NC1CC1
CCMSLIB00012271144,[M+H]1+,503.19,LXH254,UEPXBTCUIIGYCY,O=C(Nc1cccc(-c2ccnc(N3CCOCC3)c2)c1)c1ccncc1
CCMSLIB00012271145,[M+H]1+,331.176,SCHEMBL8425838,VXCIAOFJRBBRMB,c1ccc2c(OC3CCCC3)nc(N3CCNCC3)nc2c1
CCMSLIB00012271146,[M+H]1+,331.176,SCHEMBL8425838,VXCIAOFJRBBRMB,c1ccc2c(OC3CCCC3)nc(N3CCNCC3)nc2c1
CCMSLIB00012271147,[M+H]1+,298.097,Methylthioadenosine,WUUGFSXJNOTRMR,c1ncc2ncn(C3CCCO3)c2n1
CCMSLIB00012271148,[M+H]1+,298.097,Methylthioadenosine,WUUGFSXJNOTRMR,c1ncc2ncn(C3CCCO3)c2n1
CCMSLIB00012271149,[M+H]1+,298.097,Methylthioadenosine,WUUGFSXJNOTRMR,c1ncc2ncn(C3CCCO3)c2n1
CCMSLIB00012271150,[M+H]1+,331.176,SCHEMBL8425838,VXCIAOFJRBBRMB,c1ccc2c(OC3CCCC3)nc(N3CCNCC3)nc2c1
CCMSLIB00012271151,[M+H]1+,331.176,SCHEMBL8425838,VXCIAOFJRBBRMB,c1ccc2c(OC3CCCC3)nc(N3CCNCC3)nc2c1
CCMSLIB00012271152,[M+H]1+,179.064,14610-11-8,UGCOPUIBNABIEP,c1ccc2[nH]cnc2c1
CCMSLIB00012271153,[M+H]1+,179.064,14610-11-8,UGCOPUIBNABIEP,c1ccc2[nH]cnc2c1
