group_key,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source
QFMJFXFXQAFGBO,c1ccccc1,169.060745239258,20.0,2.0,1.0,1.0,5.0,78.38999999999999,0.4166666666666667,2.0,3.0,0.0,0.0,WUR
QGHREAKMXXNCOA,c1ccccc1,343.053161621094,36.0,2.0,1.0,1.0,8.0,100.72000000000001,0.45454545454545453,4.0,4.0,2.0,0.0,WUR
QGTOTYJSCYHYFK,O=C(N[C@H]1COC(=O)[C@H](Cc2ccccc2)CCOC1=O)c1ccccn1,615.254638671875,82.0,11.0,3.0,2.0,14.0,165.65,0.29545454545454547,2.0,11.0,0.0,0.0,WUR
QHMTXANCGGJZRX,O=C1NN=CCN1/N=C/c1cccnc1,218.103775024414,27.0,2.0,2.0,1.0,8.0,69.95,0.375,5.0,1.0,0.0,0.0,WUR
QHOQHJPRIBSPCY,c1cncnc1,306.103668212891,39.0,7.0,1.0,1.0,5.0,56.71000000000001,0.42105263157894735,3.0,3.0,1.0,0.0,WUR
QJVOZXGJOGJKPT,O=C1C=CN2C[C@H]3CNC[C@@H](C3)[C@H]2C1,233.1650390625,37.0,2.0,3.0,0.0,6.0,32.34,0.17647058823529413,2.0,1.0,0.0,0.0,WUR
QMBJSIBWORFWQT,O=C1C=C2C=C[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,405.182922363281,57.0,2.0,4.0,0.0,9.0,60.440000000000005,0.17857142857142858,0.0,4.0,0.0,1.0,WUR
QMGGMESMCJCABO,O=C1C=CC[C@@H]2[C@H]3CCC[NH+]4CCC[C@@H](CN12)[C@@H]34,263.175689697266,41.0,0.0,4.0,0.0,6.0,43.37,0.21052631578947367,2.0,2.0,0.0,0.0,WUR
QMGVPVSNSZLJIA,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,335.175689697266,47.0,0.0,7.0,1.0,12.0,32.78,0.16,2.0,2.0,0.0,0.0,WUR
QRUDEWIWKLJBPS,c1ccc2[nH]nnc2c1,120.055633544922,14.0,0.0,2.0,2.0,7.0,41.57,0.3333333333333333,3.0,0.0,0.0,0.0,WUR
QTCRXZRCLRRRCO,C=C1CCCC(=O)OC[C@H]2CC[NH+]3CC[C@@H](OC1=O)[C@@H]23,370.186248779297,53.0,0.0,3.0,0.0,6.0,116.12,0.3076923076923077,1.0,7.0,0.0,0.0,WUR
QTDRLOKFLJJHTG,O=C(NC1CCCCC1)c1ccoc1,252.159545898438,39.0,3.0,2.0,1.0,5.5,42.68,0.2222222222222222,1.0,3.0,0.0,0.0,WUR
QVBOTMGSBYXVJQ,c1ccccc1,291.102783203125,38.0,5.0,1.0,1.0,4.0,58.28,0.2777777777777778,2.0,1.0,0.0,2.0,WUR
QYMMJNLHFKGANY,c1ccccc1,372.942687988281,33.0,7.0,1.0,1.0,5.0,35.53,0.3888888888888889,0.0,3.0,1.0,2.0,WUR
