unique_sample_id,source_zip,member,file,n_candidates,file_sha256
pluskal_mce_1D1_P23_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_P23_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_P23_id.mzML,1,bd86f76956af70033afd34d73360450f0c9b7e0887131008b7130808d036961c
pluskal_mce_1D1_P6_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_P6_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_P6_id.mzML,1,2d1d1f891fbc0794cdc46e2b1c9476abe69385f4fe12d273eb343f5bacb410ae
pluskal_mce_1D2_A22_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_A22_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_A22_id.mzML,1,f1a0b215791f848874b59ad3f818d1f0df2f377666593c74cb82124206028fd7
pluskal_mce_1D2_A24_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_A24_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_A24_id.mzML,1,c91f798c99226a74e7e3cf89f9a5b2096eafbc3fd70a6582ec7191ecc74329ba
pluskal_mce_1D2_B13_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_B13_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_B13_id.mzML,1,4c8099f83ba53ff91a91327237e6962fead8c4de08cd36a8c7f15ad109cb0116
pluskal_mce_1D2_B17_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_B17_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_B17_id.mzML,1,b48dd26e15687e1a2a596dbdd96c284cdfd6aaedeb5626e75d60c413dc3f9591
pluskal_mce_1D2_B4_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_B4_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_B4_id.mzML,1,4a15e6d1453da70f22c10e8c17b08ffd10f03ed3d427cd16ab95524eafc6af63
pluskal_mce_1D2_C10_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_C10_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_C10_id.mzML,1,f39764e00ba49d154a81de82fa4c0729de512f5870638b875427a4b6f34213a7
pluskal_mce_1D2_C15_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_C15_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_C15_id.mzML,1,490081fd86e2c1634a23de2c3a0f147661a30f392aa31b2386558e4c63cbba42
pluskal_mce_1D2_C22_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_C22_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_C22_id.mzML,1,fffa345e9d1ac3990b004c4f9387461a96195ea129e657f6ea123c7fc8178fd5
pluskal_mce_1D2_D16_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_D16_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_D16_id.mzML,1,7cfacc8d383ca1e938278dcd26f9efced7849ed52c350f0209d1ae72e3cf8bb7
pluskal_mce_1D2_D17_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_D17_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_D17_id.mzML,1,ee430e954563a86ab6095c12356b78659a329f571da334be75504c26fd248ebe
pluskal_mce_1D2_D5_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_D5_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_D5_id.mzML,1,0799c4c1f23a3a5c75ca2a3bf72a0da6eadb3a089ce15bf5fd87c6a721d96720
pluskal_mce_1D2_E12_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_E12_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_E12_id.mzML,1,1c47c47bce76adee941887eb20ed49d5080c0302d50622c36d2410e10ebd8abd
pluskal_mce_1D2_E14_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_E14_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_E14_id.mzML,1,865aaa5c582cf510375699b688ac8b38873d30ee1a4fe53016472735dd990304
pluskal_mce_1D2_E16_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_E16_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_E16_id.mzML,1,02c221767a36f396383cba07d3889d1b20d13dff9cfe4778af3e22f38a095f2f
pluskal_mce_1D2_E18_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_E18_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_E18_id.mzML,1,754ca40ac5710580ff2a7c9f8f914ceb6186104e182f5747d18d8106a3a6b2fe
pluskal_mce_1D2_E20_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_E20_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_E20_id.mzML,1,e89728cab797b6b641dc960a84a412a1e96db3236827bcf465a7305a11f9652f
pluskal_mce_1D2_E7_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_E7_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_E7_id.mzML,1,2ea62886e9e9678e1de8fcbfee002036f6da7ebc4cb4b2aceae05a090a8d5450
pluskal_mce_1D2_F20_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_F20_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_F20_id.mzML,1,0394c31e61241808ab819356376fa51afb538f0b9221d2ff47a23967191300ab
pluskal_mce_1D2_F24_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_F24_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_F24_id.mzML,1,85c06f7574f5f45ac26b416cd846f46c71c45b2d6a3cd8c2c4b857140fcff588
pluskal_mce_1D2_F6_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_F6_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_F6_id.mzML,1,7df61ff3ec5ce54e5a0e5df8571c62753ab452622a362f3f534d9a757b26c513
pluskal_mce_1D2_G13_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_G13_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_G13_id.mzML,1,a36e9705eb6bb55266ef055fee4db5b9b09d5b3cedb6558948f311f34c0fc064
pluskal_mce_1D2_G4_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_G4_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_G4_id.mzML,1,9d26713f32decd2ff2669639a3a36c3c838925d06536da8a5b81fb850f8f2810
pluskal_mce_1D2_H4_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_H4_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_H4_id.mzML,1,0d8202a8d3a1cda452ade2d84790b634aef1691dc765f2141b4a5fdef80505d2
pluskal_mce_1D2_I12_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D2_I12_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D2_I12_id.mzML,1,85e0d02089d9505d66ea0d23323b1131608b44a40a653f63f7c2a03f3f50c8e0
