group_key,g_hat,g_var,weight,split
GMBRUAIJEFRHFQ,1.5376526318694963,0.005106235412678933,1.290282810491827,train
GNBHRKFJIUUOQI,2.94115364511659,0.004226328183582842,1.5589153262865925,test
GNOIPBMMFNIUFM,1.8406023589328644,0.0060391896649628594,1.0909555991473878,valid
GOCUAJYOYBLQRH,0.9688237488485942,0.004410884432379541,1.4936885969941347,train
GOJCZVPJCKEBQV,0.29094829043016596,0.016285470190676294,0.4045623308485307,train
GPNAVOJCQIEKQF,3.094619146342752,0.006109406095573345,1.078417063170518,train
GPXLRLUVLMHHIK,0.894755807971926,0.00871013673553214,0.7564161137020023,test
GVDRRZOORHCTAN,0.36233906725790355,0.2717493756324383,0.02424472094543356,train
GWLFIMOOGVXSMZ,0.3449662541353829,0.0078275614655223,0.841703742388262,train
GYSSRZJIHXQEHQ,0.8987508886628255,0.008710136735531419,0.7564161137020651,test
GZGZVOLBULPDFD,1.4245800527458166,0.0036304038206532623,1.8148085184966343,train
GZUITABIAKMVPG,0.577558986817599,0.016285470190676773,0.40456233084851884,test
GZVHEAJQGPRDLQ,1.950158711261051,0.003885390652088299,1.6957079401431934,valid
HAORKNGNJCEJBX,2.0311541837437384,0.003149887285881835,2.091658266260715,train
HBBVCKCCQCQCTJ,0.5354129758894528,0.004333659309072087,1.520305891492652,valid
HBPDKDSFLXWOAE,1.4183037566899892,0.003630403820652726,1.8148085184969023,train
HDHLIWCXDDZUFH,1.0907929276113448,0.004370208699217381,1.5075911089747587,train
HEZNVIYQEUHLNI,0.9001294864632572,0.008710136735531115,0.7564161137020914,train
HFCYZXMHUIHAQI,0.8902180601639764,0.008710136735531055,0.7564161137020967,valid
HGBGXSPIBLZGHS,0.6905961359455123,0.0046177517388248145,1.4267739263481913,valid
HKPHPIREJKHECO,0.34530505183840887,0.007827561465523289,0.8417037423881557,train
HKQYGTCOTHHOMP,2.3052965303680653,0.05587058828569476,0.11792408101403867,train
HMXDWDSNPRNUKI,1.0424026261272181,0.0028890342570449846,2.2805156301757483,test
HOMGKSMUEGBAAB,0.985333501561073,0.004410884432379541,1.4936885969941347,test
HSHNITRMYYLLCV,1.992652250503242,0.0040167973033616924,1.6402340675219795,train
HSMVPDGQOIQYSR,0.3533742556560435,0.007827561465523367,0.8417037423881473,valid
HWVNEWGKWRGSRK,0.9793784568371465,0.004410884432379541,1.4936885969941347,valid
HXHWSAZORRCQMX,2.433605037622802,0.01020028627546895,0.6459120461304275,train
HXTGXYRHXAGCFP,0.9922526027641766,0.004112257211292894,1.602158483961378,valid
HYAFETHFCAUJAY,0.7874103952040645,0.014937910639943939,0.4410581866574209,test
HYYBABOKPJLUIN,3.6342431619887106,0.012757969678238421,0.516421338619609,train
HZJKXKUJVSEEFU,0.5197321107651924,0.004333659309072112,1.5203058914926428,train
IAJNXBNRYMEYAZ,1.7911636335013053,0.007940875653467728,0.829692853385397,valid
IAKHMKGGTNLKSZ,1.5045371909855274,0.006504178086661705,1.0129623899467728,valid
IANUJLZYFUDJIH,0.3045601512387444,0.16227999723032083,0.04059950635784986,valid
IBXPYPUJPLLOIN,1.7810897226855342,0.005049232583881162,1.3048493349933856,train
ICFJFFQQTFMIBG,0.6716828599489024,0.004617751738824977,1.4267739263481412,train
IIBYAHWJQTYFKB,0.5605118231840568,0.011376989491092485,0.579106430964243,valid
IITCWRFYJWUUPC,1.4576799471231348,0.006504178086660666,1.0129623899469344,train
IKVXBIIHQGXQRQ,0.20510587409330858,0.003527528383934014,1.867734873321295,train
ILBONRFSLATCRE,0.8806516631499041,0.008710136735531192,0.7564161137020848,train
IMTMBDXEKMXETQ,0.4213104048869834,0.01575015570928396,0.4183125488353535,train
