n,accession,source_url,repo,release,requested_blob_sha1,filename,bytes,sha256,git_blob_sha1_recomputed,blob_sha_verified,status,error
52,MSBNK-Eawag-EQ1086002,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/f3972ea28cd6fca8923e3fd35e144ac10c2df314,MassBank/MassBank-data,2025.10,f3972ea28cd6fca8923e3fd35e144ac10c2df314,MSBNK-Eawag-EQ1086002.txt,2626,6294a6f9db71cc9b88edbc852bdb4f2935db5db8e8715862122daac6631ea4c0,f3972ea28cd6fca8923e3fd35e144ac10c2df314,True,ok,
53,MSBNK-Eawag-EQ1086004,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/96cdfe0d11c88f468652fc49feea6c5a80807549,MassBank/MassBank-data,2025.10,96cdfe0d11c88f468652fc49feea6c5a80807549,MSBNK-Eawag-EQ1086004.txt,2804,363e007ac4190370b1b1f92f9c74c70164835955fca93962d7cbb11e5bbbcb84,96cdfe0d11c88f468652fc49feea6c5a80807549,True,ok,
54,MSBNK-Eawag-EQ1090002,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/eb50a8a0e36bde49f6ee441de53e222ff507bbf6,MassBank/MassBank-data,2025.10,eb50a8a0e36bde49f6ee441de53e222ff507bbf6,MSBNK-Eawag-EQ1090002.txt,2646,09f48fc10526d20f7044a9615f34cd27d2753e631684fb39a6fd53a4e283340c,eb50a8a0e36bde49f6ee441de53e222ff507bbf6,True,ok,
55,MSBNK-Eawag-EQ1090004,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/4683de6e8387493af22c43712e3418d0ef1c35dd,MassBank/MassBank-data,2025.10,4683de6e8387493af22c43712e3418d0ef1c35dd,MSBNK-Eawag-EQ1090004.txt,2932,0846c9baa6042476cd5a1310bbc6b5839f811fba45ee53f8556bfb6c851d3684,4683de6e8387493af22c43712e3418d0ef1c35dd,True,ok,
56,MSBNK-Eawag-EQ1090202,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/e7ffdbe41c8223e866be87e44a195a30825dd8c5,MassBank/MassBank-data,2025.10,e7ffdbe41c8223e866be87e44a195a30825dd8c5,MSBNK-Eawag-EQ1090202.txt,3059,25e5eefcc9ec0c11b6fce808fc587390a106ac0f93ecaef6505839eeb3cb9aa1,e7ffdbe41c8223e866be87e44a195a30825dd8c5,True,ok,
57,MSBNK-Eawag-EQ1090204,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/992357963e99c160238c65e31093bdbea6ea3518,MassBank/MassBank-data,2025.10,992357963e99c160238c65e31093bdbea6ea3518,MSBNK-Eawag-EQ1090204.txt,3227,4f20dcef152ad07cab6a67613e913052e83b802f2e312def50d32ecb67416dc4,992357963e99c160238c65e31093bdbea6ea3518,True,ok,
58,MSBNK-Eawag-EQ1090302,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/dda592c24cd8c5351bd7fd2dc2d8e5d639df840e,MassBank/MassBank-data,2025.10,dda592c24cd8c5351bd7fd2dc2d8e5d639df840e,MSBNK-Eawag-EQ1090302.txt,2752,e48d060c9a6be768396618ee18c24416546edb2eeb9efeb947dee3bf7800ab46,dda592c24cd8c5351bd7fd2dc2d8e5d639df840e,True,ok,
59,MSBNK-Eawag-EQ1090304,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/8b89f8d928b1ca01d53c5f12393c83923d781e06,MassBank/MassBank-data,2025.10,8b89f8d928b1ca01d53c5f12393c83923d781e06,MSBNK-Eawag-EQ1090304.txt,2861,5e76313e3d6adda4a9b6afec8c52ec225c97d2284cb4ef5d8231fd417fc19495,8b89f8d928b1ca01d53c5f12393c83923d781e06,True,ok,
60,MSBNK-Eawag-EQ1090402,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/5136dfb3d8c5504c58778f8b3e9521bd1250b031,MassBank/MassBank-data,2025.10,5136dfb3d8c5504c58778f8b3e9521bd1250b031,MSBNK-Eawag-EQ1090402.txt,2985,329aa6dd2961098bb35638f46aa63a4415745442a85749b5e52e5fd0b6e5515a,5136dfb3d8c5504c58778f8b3e9521bd1250b031,True,ok,
61,MSBNK-Eawag-EQ1090404,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/e9dbba9b574b4e32265f3c921cc4cba38741d3a6,MassBank/MassBank-data,2025.10,e9dbba9b574b4e32265f3c921cc4cba38741d3a6,MSBNK-Eawag-EQ1090404.txt,2923,b5eb5b10f8aa0b956dabafaa1c845dc160f661f7aef157b97212241a74b120f1,e9dbba9b574b4e32265f3c921cc4cba38741d3a6,True,ok,
