group_key,dist_1_minus_maxsim,leverage,mahalanobis,disagreement,sensitivity,domain_flag,pred_log_rmse,p_af,fold,thr_learned_q80,thr_learned_q90,thr_dist_q80,thr_dist_q90,rmse,af
XRJLAOUDSILTFT,0.7285714285714286,0.005979857448791685,2.5152763344103573,0.08674388999052163,0.3229298721235846,0.0,-2.2724795009102774,0.06759195377645104,1,-2.2472181738290433,-2.2121481354605383,0.6829268292682926,0.726423157555233,0.05935636882336536,0
XRQDFNLINLXZLB,0.7011494252873562,0.012883273499522641,3.6926251438583146,0.33388046940237387,0.12324000833144626,0.0,-2.4472943469833264,0.0709560652048456,3,-2.236735335430558,-2.2041722246106135,0.6889262371615312,0.7325581395348837,0.18102783231541694,0
XRQHTUDGPWMPKX,0.25,0.024427487274808656,5.085811328181489,0.003036300683816051,0.17387737379227625,0.0,-2.3075598888237225,0.055794731921780624,4,-2.191503734640944,-2.163479478078397,0.691886195995785,0.7349397590361446,0.04556765044309764,0
XSKZXGDFSCCXQX,0.4725274725274725,0.018342784367467408,4.405233707833631,0.11730583412297724,0.20584622966380645,0.0,-2.276927655421619,0.080295148945142,0,-2.2220372844783394,-2.1841856940766355,0.6891891891891893,0.7361363636363637,0.038661229769961114,0
XTDZGXBTXBEZDN,0.4,0.004885498848328805,2.2738541309899354,0.040798955992216446,0.3363600773045079,0.0,-2.2277882705363203,0.05505512687621892,4,-2.191503734640944,-2.163479478078397,0.691886195995785,0.7349397590361446,0.06843618453789682,0
XTKDAFGWCDAMPY,0.2716049382716049,0.004303503737094374,2.1344330455909652,0.191111048157998,0.2894430070510456,0.0,-2.378031564720509,0.046647442517633635,1,-2.2472181738290433,-2.2121481354605383,0.6829268292682926,0.726423157555233,0.04168116688534763,0
XVOKUMIPKHGGTN,0.4342105263157895,0.00288329426287246,1.7468464625816769,0.2698121629896588,0.4542063559728186,0.0,-2.3169552360423182,0.04367750466039171,3,-2.236735335430558,-2.2041722246106135,0.6889262371615312,0.7325581395348837,0.05125977695881241,0
XVPBINOPNYFXID,0.4117647058823529,0.00836080516394916,2.974881673770315,0.23080498046283193,0.17926802084718607,0.0,-2.477846548298859,0.03625662050838759,2,-2.255809907312056,-2.227921869641568,0.6942607897153352,0.7360111111111111,0.0706964435646247,0
XWALNWXLMVGSFR,0.3513513513513513,0.007987000864079326,2.907816922058461,0.12896369940005953,0.32287467183456375,0.0,-2.3583669673506416,0.05179734201618004,3,-2.236735335430558,-2.2041722246106135,0.6889262371615312,0.7325581395348837,0.1396386544649029,0
XWIYFDMXXLINPU,0.19999999999999996,0.01585224456845699,4.096188730531157,0.3630212031885708,0.46586588548184793,0.0,-2.299527810956991,0.10061684306114722,0,-2.2220372844783394,-2.1841856940766355,0.6891891891891893,0.7361363636363637,0.05267623402928604,0
XWMMHXRGYYPFAV,0.6166666666666667,0.018261552254445028,4.3929783714339,0.3530421850923785,0.3596101494340592,0.0,-2.2517687047621813,0.11750754996577935,0,-2.2220372844783394,-2.1841856940766355,0.6891891891891893,0.7361363636363637,0.1061530362345196,0
