record_id,file,series,parent_key,first_failed_rule,reason
MSBNK-EAWAG-ED061351,MSBNK-EAWAG-ED061351.txt,MSBNK-EAWAG-ED,TYSLVBJOPFOBFU,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED061352,MSBNK-EAWAG-ED061352.txt,MSBNK-EAWAG-ED,TYSLVBJOPFOBFU,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED061353,MSBNK-EAWAG-ED061353.txt,MSBNK-EAWAG-ED,TYSLVBJOPFOBFU,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED061354,MSBNK-EAWAG-ED061354.txt,MSBNK-EAWAG-ED,TYSLVBJOPFOBFU,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED061355,MSBNK-EAWAG-ED061355.txt,MSBNK-EAWAG-ED,TYSLVBJOPFOBFU,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED061601,MSBNK-EAWAG-ED061601.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,PASS,eligible
MSBNK-EAWAG-ED061602,MSBNK-EAWAG-ED061602.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,PASS,eligible
MSBNK-EAWAG-ED061603,MSBNK-EAWAG-ED061603.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,PASS,eligible
MSBNK-EAWAG-ED061604,MSBNK-EAWAG-ED061604.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,PASS,eligible
MSBNK-EAWAG-ED061605,MSBNK-EAWAG-ED061605.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,PASS,eligible
MSBNK-EAWAG-ED061606,MSBNK-EAWAG-ED061606.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,PASS,eligible
MSBNK-EAWAG-ED061607,MSBNK-EAWAG-ED061607.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,PASS,eligible
MSBNK-EAWAG-ED061608,MSBNK-EAWAG-ED061608.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,H11,NCE outside the frozen grid
MSBNK-EAWAG-ED061609,MSBNK-EAWAG-ED061609.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,H11,NCE outside the frozen grid
MSBNK-EAWAG-ED061651,MSBNK-EAWAG-ED061651.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,H1,not [M+H]+ (positive mode)
