record_id,compound_id,scaffold_group,nce,model,mapping,cosine,js,drop_reason
MSBNK-Eawag-EQ01109404__GLACIER__K3,AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,60,GLACIER,K3,0.9679254277735541,0.7867324516951043,
MSBNK-Eawag-EQ01109502__ICEBERG_2_1__K1,HHRACYLRBOUBKM,c1ccc(OCC2CO2)cc1,30,ICEBERG_2_1,K1,0.10502852584493169,0.1866850930907511,
MSBNK-Eawag-EQ01109502__ICEBERG_2_1__K2,HHRACYLRBOUBKM,c1ccc(OCC2CO2)cc1,30,ICEBERG_2_1,K2,0.024779196312728242,0.07967222053797884,
MSBNK-Eawag-EQ01109502__ICEBERG_2_1__K3,HHRACYLRBOUBKM,c1ccc(OCC2CO2)cc1,30,ICEBERG_2_1,K3,0.019301387939229846,0.0706447338285251,
MSBNK-Eawag-EQ01109502__GLACIER__K1,HHRACYLRBOUBKM,c1ccc(OCC2CO2)cc1,30,GLACIER,K1,0.5263796489599974,0.48531121427711055,
MSBNK-Eawag-EQ01109502__GLACIER__K2,HHRACYLRBOUBKM,c1ccc(OCC2CO2)cc1,30,GLACIER,K2,0.039292846095860555,0.15802702949783898,
MSBNK-Eawag-EQ01109502__GLACIER__K3,HHRACYLRBOUBKM,c1ccc(OCC2CO2)cc1,30,GLACIER,K3,0.01792829855200135,0.09815644743477236,
MSBNK-Eawag-EQ01109504__ICEBERG_2_1__K1,HHRACYLRBOUBKM,c1ccc(OCC2CO2)cc1,60,ICEBERG_2_1,K1,0.7544118481115137,0.6784948336482066,
MSBNK-Eawag-EQ01109504__ICEBERG_2_1__K2,HHRACYLRBOUBKM,c1ccc(OCC2CO2)cc1,60,ICEBERG_2_1,K2,0.2811884086962988,0.39675536470918493,
MSBNK-Eawag-EQ01109504__ICEBERG_2_1__K3,HHRACYLRBOUBKM,c1ccc(OCC2CO2)cc1,60,ICEBERG_2_1,K3,0.17299933870120132,0.3305827509026713,
MSBNK-Eawag-EQ01109504__GLACIER__K1,HHRACYLRBOUBKM,c1ccc(OCC2CO2)cc1,60,GLACIER,K1,0.2811922477528696,0.4907267954526171,
MSBNK-Eawag-EQ01109504__GLACIER__K2,HHRACYLRBOUBKM,c1ccc(OCC2CO2)cc1,60,GLACIER,K2,0.9198707843341846,0.7586853889876933,
MSBNK-Eawag-EQ01109504__GLACIER__K3,HHRACYLRBOUBKM,c1ccc(OCC2CO2)cc1,60,GLACIER,K3,0.9387052010980078,0.8029273478606769,
MSBNK-Eawag-EQ01111802__ICEBERG_2_1__K1,MBABOKRGFJTBAE,__ACYCLIC__MBABOKRGFJTBAE,30,ICEBERG_2_1,K1,0.9032038230315446,0.8957350226610195,
MSBNK-Eawag-EQ01111802__ICEBERG_2_1__K2,MBABOKRGFJTBAE,__ACYCLIC__MBABOKRGFJTBAE,30,ICEBERG_2_1,K2,0.8857936711652059,0.88067768087825,
MSBNK-Eawag-EQ01111802__ICEBERG_2_1__K3,MBABOKRGFJTBAE,__ACYCLIC__MBABOKRGFJTBAE,30,ICEBERG_2_1,K3,0.8729866727374462,0.8637703696830356,
MSBNK-Eawag-EQ01111802__GLACIER__K1,MBABOKRGFJTBAE,__ACYCLIC__MBABOKRGFJTBAE,30,GLACIER,K1,0.8463844382939665,0.8355021895713707,
MSBNK-Eawag-EQ01111802__GLACIER__K2,MBABOKRGFJTBAE,__ACYCLIC__MBABOKRGFJTBAE,30,GLACIER,K2,0.881865437094736,0.8908637500956162,
MSBNK-Eawag-EQ01111802__GLACIER__K3,MBABOKRGFJTBAE,__ACYCLIC__MBABOKRGFJTBAE,30,GLACIER,K3,0.8500652250780265,0.8446703250113878,
MSBNK-Eawag-EQ01111804__ICEBERG_2_1__K1,MBABOKRGFJTBAE,__ACYCLIC__MBABOKRGFJTBAE,60,ICEBERG_2_1,K1,0.9519794739035853,0.8212729269845411,
MSBNK-Eawag-EQ01111804__ICEBERG_2_1__K2,MBABOKRGFJTBAE,__ACYCLIC__MBABOKRGFJTBAE,60,ICEBERG_2_1,K2,0.9844158911288242,0.9302403634062641,
MSBNK-Eawag-EQ01111804__ICEBERG_2_1__K3,MBABOKRGFJTBAE,__ACYCLIC__MBABOKRGFJTBAE,60,ICEBERG_2_1,K3,0.9890362695903198,0.9442518937795059,
MSBNK-Eawag-EQ01111804__GLACIER__K1,MBABOKRGFJTBAE,__ACYCLIC__MBABOKRGFJTBAE,60,GLACIER,K1,0.8608266742030494,0.7444273112211344,
MSBNK-Eawag-EQ01111804__GLACIER__K2,MBABOKRGFJTBAE,__ACYCLIC__MBABOKRGFJTBAE,60,GLACIER,K2,0.45719704052227755,0.518993074399142,
MSBNK-Eawag-EQ01111804__GLACIER__K3,MBABOKRGFJTBAE,__ACYCLIC__MBABOKRGFJTBAE,60,GLACIER,K3,0.20490134826490405,0.3843611828314726,
MSBNK-Eawag-EQ01115504__ICEBERG_2_1__K1,ZIUHHBKFKCYYJD,__ACYCLIC__ZIUHHBKFKCYYJD,30,ICEBERG_2_1,K1,0.780184772491626,0.7803579699361107,
MSBNK-Eawag-EQ01115504__ICEBERG_2_1__K2,ZIUHHBKFKCYYJD,__ACYCLIC__ZIUHHBKFKCYYJD,30,ICEBERG_2_1,K2,0.546863766175866,0.5483802978337068,
MSBNK-Eawag-EQ01115504__ICEBERG_2_1__K3,ZIUHHBKFKCYYJD,__ACYCLIC__ZIUHHBKFKCYYJD,30,ICEBERG_2_1,K3,0.5352863264410123,0.5404054729438561,
MSBNK-Eawag-EQ01115504__GLACIER__K1,ZIUHHBKFKCYYJD,__ACYCLIC__ZIUHHBKFKCYYJD,30,GLACIER,K1,0.6829841703556533,0.7655759640677442,
MSBNK-Eawag-EQ01115504__GLACIER__K2,ZIUHHBKFKCYYJD,__ACYCLIC__ZIUHHBKFKCYYJD,30,GLACIER,K2,0.6765383560735961,0.7390254894028698,
MSBNK-Eawag-EQ01115504__GLACIER__K3,ZIUHHBKFKCYYJD,__ACYCLIC__ZIUHHBKFKCYYJD,30,GLACIER,K3,0.6403733629316298,0.7120268428022216,
MSBNK-Eawag-EQ01115507__ICEBERG_2_1__K1,ZIUHHBKFKCYYJD,__ACYCLIC__ZIUHHBKFKCYYJD,60,ICEBERG_2_1,K1,0.5744386891634976,0.6765521826372762,
MSBNK-Eawag-EQ01115507__ICEBERG_2_1__K2,ZIUHHBKFKCYYJD,__ACYCLIC__ZIUHHBKFKCYYJD,60,ICEBERG_2_1,K2,0.22285612946308833,0.4191096153385737,
MSBNK-Eawag-EQ01115507__ICEBERG_2_1__K3,ZIUHHBKFKCYYJD,__ACYCLIC__ZIUHHBKFKCYYJD,60,ICEBERG_2_1,K3,0.21573631399163207,0.41033055467548585,
MSBNK-Eawag-EQ01115507__GLACIER__K1,ZIUHHBKFKCYYJD,__ACYCLIC__ZIUHHBKFKCYYJD,60,GLACIER,K1,0.9989511839169879,0.9778308356233876,
MSBNK-Eawag-EQ01115507__GLACIER__K2,ZIUHHBKFKCYYJD,__ACYCLIC__ZIUHHBKFKCYYJD,60,GLACIER,K2,0.5564080795827364,0.625945991397269,
MSBNK-Eawag-EQ01115507__GLACIER__K3,ZIUHHBKFKCYYJD,__ACYCLIC__ZIUHHBKFKCYYJD,60,GLACIER,K3,0.43211449439754934,0.5626350119183077,
MSBNK-Eawag-EQ01115604__ICEBERG_2_1__K1,KUAUJXBLDYVELT,C(COCC1CO1)COCC1CO1,30,ICEBERG_2_1,K1,0.12121213688112817,0.2453938145375365,
MSBNK-Eawag-EQ01115604__ICEBERG_2_1__K2,KUAUJXBLDYVELT,C(COCC1CO1)COCC1CO1,30,ICEBERG_2_1,K2,0.012440145012931853,0.06050976451936774,
