group_key,ce_numeric,mu,source
ALEXXDVDDISNDU,60.0,0.36535515339430613,WUR
ALEXXDVDDISNDU,75.0,0.326700185264453,WUR
ALEXXDVDDISNDU,90.0,0.2987427761599983,WUR
ALRRPAKWGUBPBK,30.0,0.7992789292656532,WUR
ALRRPAKWGUBPBK,45.0,0.7024313282870106,WUR
ALRRPAKWGUBPBK,60.0,0.4419588256934612,WUR
ALRRPAKWGUBPBK,75.0,0.3386251347469206,WUR
ALRRPAKWGUBPBK,90.0,0.29037590195108265,WUR
AMFDITJFBUXZQN,30.0,0.7855938081261596,WUR
AMFDITJFBUXZQN,45.0,0.6712824710702207,WUR
AMFDITJFBUXZQN,60.0,0.6162878384114405,WUR
AMFDITJFBUXZQN,75.0,0.5713153723214798,WUR
AMFDITJFBUXZQN,90.0,0.5259300156076134,WUR
ANVREEJNGJMLOV,30.0,0.48815383090060344,WUR
ANVREEJNGJMLOV,45.0,0.41567904670592465,WUR
ANVREEJNGJMLOV,60.0,0.40733722623431745,WUR
ANVREEJNGJMLOV,75.0,0.3458263995243658,WUR
ANVREEJNGJMLOV,90.0,0.2901219285034269,WUR
APTZNLHMIGJTEW,30.0,0.8111182834521199,WUR
APTZNLHMIGJTEW,45.0,0.7036017190344757,WUR
APTZNLHMIGJTEW,60.0,0.6308554644222341,WUR
APTZNLHMIGJTEW,75.0,0.5440746280390193,WUR
APTZNLHMIGJTEW,90.0,0.48673985709118556,WUR
ARAIBEBZBOPLMB,30.0,0.5162197366489272,WUR
ARAIBEBZBOPLMB,45.0,0.3362145261401014,WUR
ARAIBEBZBOPLMB,60.0,0.3140712038491213,WUR
ARAIBEBZBOPLMB,75.0,0.28833354001557154,WUR
ARAIBEBZBOPLMB,90.0,0.2672923758701671,WUR
ASLWPAWFJZFCKF,30.0,0.3122688140113939,WUR
ASLWPAWFJZFCKF,45.0,0.2379959213247973,WUR
ASLWPAWFJZFCKF,60.0,0.22424396653482426,WUR
ASLWPAWFJZFCKF,75.0,0.22246871049993416,WUR
ASLWPAWFJZFCKF,90.0,0.22066445026780268,WUR
ASXBYYWOLISCLQ,30.0,0.5584543315416037,WUR
ASXBYYWOLISCLQ,45.0,0.4240530779754636,WUR
ASXBYYWOLISCLQ,60.0,0.3810111636393906,WUR
ASXBYYWOLISCLQ,75.0,0.30208819973969536,WUR
ASXBYYWOLISCLQ,90.0,0.2408207888409593,WUR
AXMBYGGSBXWTEY,30.0,0.8708767870295738,WUR
AXMBYGGSBXWTEY,45.0,0.7561073483455172,WUR
AXMBYGGSBXWTEY,60.0,0.6531617781064458,WUR
AXMBYGGSBXWTEY,75.0,0.564448041720066,WUR
AXMBYGGSBXWTEY,90.0,0.4986720648942421,WUR
AYEAUPRZTZWBBF,30.0,0.6430514438584867,WUR
AYEAUPRZTZWBBF,45.0,0.5958666270126176,WUR
AYEAUPRZTZWBBF,60.0,0.5676199564571692,WUR
AYEAUPRZTZWBBF,75.0,0.5215107568993055,WUR
AYEAUPRZTZWBBF,90.0,0.4739629308528298,WUR
BATVZJPOLFSGTD,30.0,0.6475854947230383,WUR
BATVZJPOLFSGTD,45.0,0.431487651830114,WUR
BATVZJPOLFSGTD,60.0,0.3753813768226745,WUR
