accession,num_peak,precursor_type,precursor_mz,ion_mode,ce_value,key,parent_charge,mh_mz_from_parent,in_tree_2023_11
MSBNK-BAFG-CSL2311092212,1,[M-H]-,470.7245,NEGATIVE,90.0,VAPDZNUFNKUROY,0,472.73908518281206,True
MSBNK-BAFG-CSL2311109382,3,[M+H]+,285.0185,POSITIVE,150.0,QRYFCNPYGUORTK,0,285.018452470812,True
MSBNK-BAFG-CSL2311108496,12,[M+H]+,250.0645,POSITIVE,110.0,GECHUMIMRBOMGK,0,250.064474058812,True
MSBNK-BAFG-CSL2311108566,8,[M+H]+,279.0781,POSITIVE,40.0,HDFFVHSMHLDSLO,0,279.07807205681206,True
MSBNK-BAFG-CSL2311108550,10,[M+H]+,168.1019,POSITIVE,40.0,BBZBYWMNNPPFKA,0,168.10190512281198,True
MSBNK-BAFG-CSL2311094213,10,[M+H]+,280.1543,POSITIVE,120.0,LNOOSYCKMKZOJB,0,280.154334618812,True
MSBNK-BAFG-CSL2311095059,10,[M+H]+,289.2162,POSITIVE,150.0,MUMGGOZAMZWBJJ,0,289.216206602812,True
MSBNK-BAFG-CSL231109298,12,[M]+,307.1246,POSITIVE,90.0,VQNQTIUCMJTZGX,1,308.131904776902,True
MSBNK-BAFG-CSL2311109508,1,[M+H]+,843.5213,POSITIVE,10.0,ACTOXUHEUCPTEW,0,843.5212815148119,True
MSBNK-BAFG-CSL23111027728,12,[M+H]+,196.206,POSITIVE,130.0,GSCCALZHGUWNJW,0,196.20597626681197,True
MSBNK-BAFG-CSL23111013470,2,[M+HCOO]-,243.9462,NEGATIVE,10.0,LVDKZNITIUWNER,0,199.955296238812,True
MSBNK-BAFG-CSL23111026995,1,[M-H]-,218.9621,NEGATIVE,140.0,KHZWIIFEFQBNKL,0,220.976675878812,True
MSBNK-BAFG-CSL23111013751,4,[M-H]-,443.146,NEGATIVE,70.0,SGKRLCUYIXIAHR,0,445.1605421948119,True
MSBNK-BAFG-CSL23111011212,1,[M-H]-,295.9458,NEGATIVE,40.0,WLPCAERCXQSYLQ,0,297.96031460681206,True
MSBNK-BAFG-CSL23111017544,4,[M+H]+,334.1681,POSITIVE,60.0,QTYCMDBMOLSEAM,0,334.168066534812,True
MSBNK-BAFG-CSL23111010614,6,[M]+,200.2373,POSITIVE,100.0,HJHUXWBTVVFLQI,1,201.24455284690197,True
MSBNK-BAFG-CSL23111013601,5,[M+H]+,153.0546,POSITIVE,120.0,YKUCHDXIBAQWSF,0,153.054620582812,True
