group_key,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source
VBCVPMMZEGZULK,O=C(Nc1ccccc1)N1COC2Cc3ccccc3C2=N1,528.078,53.0,3.0,4.0,2.0,14.0,106.97,0.3888888888888889,3.0,7.0,0.0,4.0,LCSB
VDTNNGKXZGSZIP,c1ccccc1,272.1063,35.0,5.0,1.0,1.0,7.0,101.29,0.3888888888888889,3.0,3.0,1.0,0.0,LCSB
VEQOALNAAJBPNY,O=c1cc[nH]n1-c1ccccc1,189.1022,26.0,1.0,2.0,2.0,8.5,26.93,0.21428571428571427,2.0,1.0,0.0,0.0,LCSB
VEVZCONIUDBCDC,c1ccc(Cc2cncnc2)cc1,313.115859985352,37.0,4.0,2.0,2.0,8.0,55.24,0.3181818181818182,2.0,2.0,0.0,3.0,WUR
VGHPMIFEKOFHHQ,O=S(=O)(Nc1ccccc1)c1nc2ncccn2n1,418.014282226563,39.0,5.0,3.0,3.0,13.0,107.71000000000001,0.46153846153846156,5.0,4.0,1.0,2.0,WUR
VGZSUPCWNCWDAN,O=C(NC1CCCCC1)NS(=O)(=O)c1ccccc1,325.1217,42.0,4.0,2.0,1.0,9.0,92.34,0.3181818181818182,2.0,4.0,1.0,0.0,LCSB
VHCNQEUWZYOAEV,O=c1[nH]cnnc1-c1ccccc1,203.0927,25.0,1.0,2.0,2.0,9.0,73.8,0.3333333333333333,4.0,1.0,0.0,0.0,LCSB
VHRSUDSXCMQTMA,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,375.2166,57.0,2.0,4.0,0.0,8.0,94.83000000000001,0.18518518518518517,0.0,5.0,0.0,0.0,LCSB
VIKNJXKGJWUCNN,O=C1C=C2CC[C@@H]3[C@H](CCC4CCC[C@H]43)[C@H]2CC1,299.2006,48.0,0.0,4.0,0.0,8.0,37.3,0.09090909090909091,0.0,2.0,0.0,0.0,LCSB
VJYFKVYYMZPMAB,__ACYCLIC__VJYFKVYYMZPMAB,243.063613891602,32.0,8.0,0.0,0.0,1.0,26.3,0.38461538461538464,0.0,2.0,2.0,0.0,WUR
VKHAHZOOUSRJNA,O=C1C=C2CC[C@@H]3C(=C2CC1)[C@@H](c1ccccc1)CC1CCC[C@H]13,430.2741,67.0,2.0,5.0,1.0,13.0,40.54,0.09375,1.0,2.0,0.0,0.0,LCSB
VLTNWNUPWHBSQY,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,303.195587158203,48.0,0.0,4.0,0.0,7.0,57.53,0.13636363636363635,0.0,3.0,0.0,0.0,WUR
VLYWMPOKSSWJAL,O=S(=O)(Nc1cccnn1)c1ccccc1,281.0703125,31.0,4.0,2.0,2.0,10.0,107.2,0.42105263157894735,4.0,3.0,1.0,0.0,WUR
VMXUWOKSQNHOCA,c1ccoc1,315.1485,43.0,10.0,1.0,1.0,5.5,83.58,0.38095238095238093,4.0,3.0,1.0,0.0,LCSB
VNENJHUOPQAPAT,c1ccc2[nH]c(-c3cscn3)nc2c1,218.038452148438,22.0,1.0,3.0,3.0,10.5,61.800000000000004,0.3333333333333333,3.0,1.0,1.0,0.0,WUR
VNKBTWQZTQIWDV,O=c1[nH]c2ncccc2o1,324.981384277344,29.0,5.0,2.0,2.0,9.0,83.56,0.5263157894736842,2.0,5.0,1.0,1.0,WUR
VOEYXMAFNDNNED,c1ccccc1,166.086334228516,23.0,1.0,1.0,1.0,5.0,41.82000000000001,0.25,1.0,2.0,0.0,0.0,WUR
VOVIALXJUBGFJZ,O=C1C=CC2C(=C1)CC[C@@H]1[C@@H]2CCC2C3OCO[C@@H]3C[C@H]21,431.2428,65.0,4.0,5.0,0.0,9.0,93.06000000000002,0.1935483870967742,0.0,6.0,0.0,0.0,LCSB
VOWAEIGWURALJQ,O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1,331.190216064453,50.0,4.0,3.0,1.0,8.0,52.60000000000001,0.16666666666666666,0.0,4.0,0.0,0.0,WUR
VTFZEBCYVXMEBB,c1ccccc1,325.032958984375,36.0,7.0,1.0,1.0,7.0,61.830000000000005,0.42105263157894735,0.0,5.0,2.0,0.0,WUR
VTNQPKFIQCLBDU,c1ccccc1,270.1255,38.0,6.0,1.0,1.0,5.0,29.54,0.2222222222222222,1.0,2.0,0.0,1.0,LCSB
VUNOFAIHSALQQH,C1CCCCC1,212.2009,40.0,3.0,1.0,0.0,2.0,29.1,0.13333333333333333,1.0,1.0,0.0,0.0,LCSB
VUTHWSUXEOILTN,c1ccccc1,295.040252685547,33.0,5.0,1.0,1.0,7.0,78.9,0.4444444444444444,0.0,6.0,1.0,0.0,WUR
VVBLNCFGVYUYGU,O=C(c1ccccc1)c1ccccc1,269.1648,40.0,4.0,2.0,2.0,9.0,23.550000000000004,0.15,2.0,1.0,0.0,0.0,LCSB
VWUXBMIQPBEWFH,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,607.324157714844,88.0,14.0,4.0,1.0,8.0,57.53,0.21951219512195122,0.0,3.0,1.0,5.0,WUR
VXTGHWHFYNYFFV,c1ccc2[nH]cnc2c1,282.090637207031,34.0,4.0,2.0,2.0,9.0,84.08,0.3684210526315789,3.0,3.0,1.0,0.0,WUR
VYBKAZXQKUFAHG,c1ccccc1,151.0866,21.0,1.0,1.0,1.0,5.0,69.11,0.2727272727272727,2.0,1.0,0.0,0.0,LCSB
VYUUPUMKBLIKJV,O=C(NCc1ccccc1)c1ccccc1NS(=O)(=O)c1cccc2cccnc12,464.1439,55.0,7.0,4.0,4.0,18.5,88.16000000000001,0.24242424242424243,3.0,3.0,1.0,1.0,LCSB
VZFRNCSOCOPNDB,C1CCNC1,312.1443176269535,43.0,7.0,1.0,0.0,6.0,123.93,0.3181818181818182,1.0,6.0,0.0,0.0,WUR
VZRKEAFHFMSHCD,__ACYCLIC__VZRKEAFHFMSHCD,216.1594,36.0,7.0,0.0,0.0,2.0,46.61,0.26666666666666666,1.0,3.0,0.0,0.0,LCSB
