key,scaffold_group_census,in_design12b,reasons
KQXKVJAGOJTNJS,c1ccc(C2CCCC2)cc1,True,DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KQYHWQDAOCIZJK,O=C(Cc1cncs1)NCCc1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KQYQURCRVSIWTI,O=C(CCC(=O)OCC(=O)c1ccccc1)Nc1ccccc1,False,HEADER_READ_WELL_STUDY1
KQYXLDPCRASSIV,O=C(Nc1ccccc1)c1ccccc1,False,HEADER_READ_WELL_STUDY1
KQZIPVXVEWOYJR,c1cn[nH]c1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KQZVSTAVTJCKDG,C1CCC2C(C1)CCC1C2CCC2C3CCCC3CCC21,True,SCAFFOLD_GROUP_EXCLUDED
KRBKBSUHIBFJRE,c1cnc2[nH]ncc2c1,True,SCAFFOLD_GROUP_EXCLUDED
KRBRICMLWWABGE,O=C(NC1CCOCC1)c1nccc2cccnc12,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KRBWBZAYEYCWMS,O=C1NCCC1N1CCC(c2c[nH]c3ncccc23)CC1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KRCBALDMBZQTIQ,O=c1c2ccccc2oc2ccc(C3CCCCO3)cc12,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
KRCOMOOXOZSNAJ,O=C(c1ccc(Nc2nc(NC3CCCCC3)nc3c2ncn3-c2ccccc2)cc1)N1CCCCC1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KRDBWWMPMKJBMX,O=C(NN=Cc1ccccc1)C1C2CCCCC21,True,SCAFFOLD_GROUP_EXCLUDED
KRDFWGCVKLXKPE,C1COC1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
KREJLXSJRYRZGN,c1ccc(-n2cccc2)cc1,True,SCAFFOLD_GROUP_EXCLUDED
KRFBMPVGAYGGJE,O=c1cc(-c2ccccc2)oc2ccccc12,True,SCAFFOLD_GROUP_EXCLUDED
KRFMLZFLQRQWIN,c1ccc(-c2nnc(C3CCNCC3)o2)cc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KRGHSIDBZXCDTB,O=C(CN1CCC(n2nc[nH]c2=O)CC1)NC1CC1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
