usi,filepath,dataset,collection,is_update,update_name,create_time,size,size_mb,sample_type,spectra_ms1,spectra_ms2,instrument_vendor,instrument_model,file_processed
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_506.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_506.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:16.326000,95596235,91,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_507.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_507.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:16.781000,95782927,91,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_508.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_508.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:17.426000,95482027,91,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_499.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_499.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:17.828000,97010347,92,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_500.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_500.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:18.184000,96201567,91,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_501.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_501.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:18.515000,95643302,91,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_502.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_502.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:19.061000,95612983,91,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_503.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_503.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:19.421000,95343026,90,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_504.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_504.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:19.776000,95020038,90,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_505.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_505.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:20.080000,94781011,90,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_506.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_506.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:20.435000,94566606,90,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_507.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_507.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:20.768000,94607316,90,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_508.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE30_508.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:21.120000,94612133,90,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE45_499.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE45_499.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:21.389000,95263063,90,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE45_500.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE45_500.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:21.798000,94470775,90,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE45_501.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE45_501.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:22.135000,93969657,89,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE45_502.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE45_502.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:22.627000,94020401,89,GNPS,0,0,,,No
